,protocol,parameter,condition,ICC,good
112,Fixation_30s_PF,saccade+pso_frequency_HV_Hz,WR,0.7168437595591172,*
113,Fixation_30s_PF,saccade+pso_frequency_HV_Hz,SD,0.6786748155813102,*
114,Fixation_30s_PF,pso_duration_HV_s,WR,0.6501625771232384,*
115,Fixation_30s_PF,pso_duration_HV_s,SD,0.6748448959987823,*
116,Fixation_30s_PF,excluded_percentage_HV_%,WR,0.06975643147413509,
117,Fixation_30s_PF,excluded_percentage_HV_%,SD,0.7025983012844826,
118,Fixation_30s_PF,valid_data_percentage_HV_%,WR,0.18808449287912912,
119,Fixation_30s_PF,valid_data_percentage_HV_%,SD,0.7438651531676387,
120,Smooth_Pursuit_Slow,measurement_duration_HV_s,WR,-0.11432923078989288,
121,Smooth_Pursuit_Slow,measurement_duration_HV_s,SD,0.03391133509883105,
122,Smooth_Pursuit_Slow,trajectory_length_HV_deg,WR,0.9213145850963972,*
123,Smooth_Pursuit_Slow,trajectory_length_HV_deg,SD,0.704674558171972,*
124,Smooth_Pursuit_Slow,trajectory_length_H_deg,WR,0.9004745837014407,*
125,Smooth_Pursuit_Slow,trajectory_length_H_deg,SD,0.7483184649320362,*
126,Smooth_Pursuit_Slow,trajectory_length_V_deg,WR,0.7947327842666233,
127,Smooth_Pursuit_Slow,trajectory_length_V_deg,SD,0.5570161240409147,
128,Smooth_Pursuit_Slow,BCEA68_HV_deg^2,WR,-0.10670329309923732,
129,Smooth_Pursuit_Slow,BCEA68_HV_deg^2,SD,0.6085438377430202,
130,Smooth_Pursuit_Slow,BCEA68_A_deg,WR,0.2355333279325971,
131,Smooth_Pursuit_Slow,BCEA68_A_deg,SD,0.550887387520889,
132,Smooth_Pursuit_Slow,BCEA95_HV_deg^2,WR,-0.1067032930992372,
133,Smooth_Pursuit_Slow,BCEA95_HV_deg^2,SD,0.6085438377430201,
134,Smooth_Pursuit_Slow,BCEA98_HV_deg^2,WR,-0.10670329309923739,
135,Smooth_Pursuit_Slow,BCEA98_HV_deg^2,SD,0.6085438377430196,
136,Smooth_Pursuit_Slow,P2_HV_%,WR,0.0401836386338449,
137,Smooth_Pursuit_Slow,P2_HV_%,SD,0.6741505150622664,
138,Smooth_Pursuit_Slow,P4_HV_%,WR,0.038821104598526786,
139,Smooth_Pursuit_Slow,P4_HV_%,SD,0.1367822190055272,
140,Smooth_Pursuit_Slow,fixation_stability_H_%,WR,0.08414801151936407,
141,Smooth_Pursuit_Slow,fixation_stability_H_%,SD,0.4966188396565467,
142,Smooth_Pursuit_Slow,fixation_stability_V_%,WR,0.1500904801617148,
143,Smooth_Pursuit_Slow,fixation_stability_V_%,SD,0.6113748979767599,
144,Smooth_Pursuit_Slow,blinks_count_HV_%,WR,0.26693859052798546,
145,Smooth_Pursuit_Slow,blinks_count_HV_%,SD,0.1687161829808163,
146,Smooth_Pursuit_Slow,blinks_percentage_HV_%,WR,0.3426596955932467,
147,Smooth_Pursuit_Slow,blinks_percentage_HV_%,SD,0.16452655137287356,
148,Smooth_Pursuit_Slow,blinks_frequency_HV_Hz,WR,0.2669097104918396,
149,Smooth_Pursuit_Slow,blinks_frequency_HV_Hz,SD,0.16869242328702566,
